x y z magnitude
0.469388 0.489796 0.489796 0.012106
0.469388 0.489796 0.510204 0.020805
0.469388 0.489796 0.530612 0.012106
0.469388 0.510204 0.489796 0.020805
0.469388 0.510204 0.510204 0.035730
0.469388 0.510204 0.530612 0.020805
0.469388 0.530612 0.489796 0.012106
0.469388 0.530612 0.510204 0.020805
0.469388 0.530612 0.530612 0.012106
0.489796 0.469388 0.489796 0.012106
0.489796 0.469388 0.510204 0.020805
0.489796 0.469388 0.530612 0.012106
0.489796 0.489796 0.469388 0.012106
0.489796 0.489796 0.489796 0.036344
0.489796 0.489796 0.510204 0.062404
0.489796 0.489796 0.530612 0.036344
0.489796 0.489796 0.551020 0.012106
0.489796 0.510204 0.469388 0.020805
0.489796 0.510204 0.489796 0.062404
0.489796 0.510204 0.510204 0.107077
0.489796 0.510204 0.530612 0.062404
0.489796 0.510204 0.551020 0.020805
0.489796 0.530612 0.469388 0.012106
0.489796 0.530612 0.489796 0.036344
0.489796 0.530612 0.510204 0.062404
0.489796 0.530612 0.530612 0.036344
0.489796 0.530612 0.551020 0.012106
0.489796 0.551020 0.489796 0.012106
0.489796 0.551020 0.510204 0.020805
0.489796 0.551020 0.530612 0.012106
0.510204 0.469388 0.489796 0.020805
0.510204 0.469388 0.510204 0.035730
0.510204 0.469388 0.530612 0.020805
0.510204 0.489796 0.469388 0.020805
0.510204 0.489796 0.489796 0.062404
0.510204 0.489796 0.510204 0.107077
0.510204 0.489796 0.530612 0.062404
0.510204 0.489796 0.551020 0.020805
0.510204 0.510204 0.469388 0.035730
0.510204 0.510204 0.489796 0.107077
0.510204 0.510204 0.510204 0.183604
0.510204 0.510204 0.530612 0.107077
0.510204 0.510204 0.551020 0.035730
0.510204 0.530612 0.469388 0.020805
0.510204 0.530612 0.489796 0.062404
0.510204 0.530612 0.510204 0.107077
0.510204 0.530612 0.530612 0.062404
0.510204 0.530612 0.551020 0.020805
0.510204 0.551020 0.489796 0.020805
0.510204 0.551020 0.510204 0.035730
0.510204 0.551020 0.530612 0.020805
0.530612 0.469388 0.489796 0.012106
0.530612 0.469388 0.510204 0.020805
0.530612 0.469388 0.530612 0.012106
0.530612 0.489796 0.469388 0.012106
0.530612 0.489796 0.489796 0.036344
0.530612 0.489796 0.510204 0.062404
0.530612 0.489796 0.530612 0.036344
0.530612 0.489796 0.551020 0.012106
0.530612 0.510204 0.469388 0.020805
0.530612 0.510204 0.489796 0.062404
0.530612 0.510204 0.510204 0.107077
0.530612 0.510204 0.530612 0.062404
0.530612 0.510204 0.551020 0.020805
0.530612 0.530612 0.469388 0.012106
0.530612 0.530612 0.489796 0.036344
0.530612 0.530612 0.510204 0.062404
0.530612 0.530612 0.530612 0.036344
0.530612 0.530612 0.551020 0.012106
0.530612 0.551020 0.489796 0.012106
0.530612 0.551020 0.510204 0.020805
0.530612 0.551020 0.530612 0.012106
0.551020 0.489796 0.489796 0.012106
0.551020 0.489796 0.510204 0.020805
0.551020 0.489796 0.530612 0.012106
0.551020 0.510204 0.489796 0.020805
0.551020 0.510204 0.510204 0.035730
0.551020 0.510204 0.530612 0.020805
0.551020 0.530612 0.489796 0.012106
0.551020 0.530612 0.510204 0.020805
0.551020 0.530612 0.530612 0.012106
